line
flight
year
doy
tt
utm_x
utm_y
utm_z
msl
lat
lon
baro
ignore
ignore
ins_pitch
ins_roll
ins_yaw
diurnal
mag_1_c
mag_1_lag
mag_1_dc
mag_1_igrf
mag_1_uc
mag_2_uc
mag_3_uc
mag_4_uc
mag_5_uc
flux_a_x
flux_a_y
flux_a_z
flux_a_t
flux_b_x
flux_b_y
flux_b_z
flux_b_t
flux_c_x
flux_c_y
flux_c_z
flux_c_t
flux_d_x
flux_d_y
flux_d_z
flux_d_t
ignore
ins_acc_x
ins_acc_y
ins_acc_z
ins_wander
ins_lat
ins_lon
ins_alt
ins_vn
ins_vw
ins_vu
cur_com_1
cur_ac_hi
cur_ac_lo
cur_tank
cur_flap
cur_strb
ignore
ignore
ignore
ignore
ignore
ignore
ignore
ignore
ignore
ignore
ignore
vol_block
vol_back
ignore
vol_cabt
vol_fan
